canonical_smiles,monomerid,affinity_type,min_affinity_nm,n_measurements,pmid,doi,active
C#Cc1cc(C(=O)Nc2ccc(CNCCN3CCN(C(=O)OC(C)(C)C)CC3)c(C(F)(F)F)c2)ccc1C,780148,IC50,10900.0,1,,10.7270/Q2P84HNT,0
C#Cc1cc(C(=O)Nc2ccc(CNCCN3CCN(C(=O)OC)CC3)c(C(F)(F)F)c2)ccc1C,780147,IC50,1790.0,1,,10.7270/Q2P84HNT,0
C#Cc1cc(C(=O)Nc2ccc(CNCCN3CCN(c4ccccc4)CC3)c(C(F)(F)F)c2)ccc1C,780150,IC50,8940.0,1,,10.7270/Q2P84HNT,0
C#Cc1cc(C(=O)Nc2ccc(CNCCN3CCN(c4ccccn4)CC3)c(C(F)(F)F)c2)ccc1C,780153,IC50,1830.0,1,,10.7270/Q2P84HNT,0
C#Cc1cc(C(=O)Nc2ccc(CNCCN3CCNCC3)c(C(F)(F)F)c2)ccc1C,780151,IC50,11900.0,1,,10.7270/Q2P84HNT,0
C#Cc1cc(C(=O)Nc2ccc(CNCCN3CCOCC3)c(C(F)(F)F)c2)ccc1C,780149,IC50,1360.0,1,,10.7270/Q2P84HNT,0
C/C(Cl)=C/Cn1c(N=NC(C)c2ccc([N+](=O)[O-])cc2)nc2c1c(=O)[nH]c(=O)n2C,25387,IC50,17360.0,1,18783202,10.1021/jm800539g,0
C=CCn1c(N=NCc2cccc([N+](=O)[O-])c2)nc2c1c(=O)[nH]c(=O)n2C,25386,IC50,37480.0,1,18783202,10.1021/jm800539g,0
C=Cc1c(Nc2c(F)ccc(NS(=O)(=O)N3CCCC3)c2Cl)ccc2ncn(C)c(=O)c12,740747,IC50,77.0,1,,10.7270/Q2154NKN,0
CC(=O)N1CCC(n2c(C)nc3cnc4cc(F)c(-c5ccc(Oc6ncccn6)cc5Cl)cc4c32)CC1,200384,IC50,212.0,1,,10.7270/Q2W094RM,0
CC(=O)N1CC[C@H](n2c(C)nc3cnc4cc(F)c(-c5ccc(Oc6ncccn6)cc5Cl)cc4c32)[C@@H](F)C1,200464,IC50,25.0,1,,10.7270/Q2W094RM,0
CC(=O)OCC(=O)N1CC[C@H](n2c(C)nc3cnc4cc(F)c(-c5ccc(Oc6ncccn6)cc5Cl)cc4c32)[C@@H](F)C1,200422,IC50,232.0,1,,10.7270/Q2W094RM,0
CC(C)(C)C(=O)N1CC2=NNC(=O)c3cccc4[nH]c(c2c34)C1,207606,IC50,660000.0,1,,10.7270/Q2CN75ZV,0
CC(C)(CN)c1nc(-c2ccncc2)c(-c2ccc3c(c2)CCC3N=O)[nH]1,26043,Kd,4.9,1,18621524,10.1016/j.bmcl.2008.06.070,1
CC(C)(N)C(=O)N1CC2=NNC(=O)c3cccc4[nH]c(c2c34)C1,207617,IC50,18000.0,1,,10.7270/Q2CN75ZV,0
CC(C)C(C(=O)N[C@@H]1Cc2cc(O)cc(c2)-c2ccc3c(c2)c(cn3C(C)(C)CC#N)CC(C)(C)COC(=O)[C@@H]2CCCN(N2)C1=O)N1CCC2(CN(C(=O)[C@H](F)Cl)C2)C1=O,754036,IC50,779.0,1,,10.7270/Q2VT1XP5,0
CC(C)N1CC2=NNC(=O)c3cccc4[nH]c(c2c34)C1,207600,IC50,760000.0,1,,10.7270/Q2CN75ZV,0
CC(C)[C@@H](C(=O)N[C@@H]1Cc2cc(O)cc(c2)-c2ccc3c(c2)c(cn3C(C)(C)C#N)CC(C)(C)COC(=O)C2CCCN(N2)C1=O)N1CCC2(CN(C(=O)CCl)C2)C1=O,754035,IC50,17.0,1,,10.7270/Q2VT1XP5,0
CC(C)[C@@H](C(=O)N[C@H]1Cc2cc(O)cc(c2)-c2ccc3c(C(C)(C)C#N)cn(c3c2)CC(C)(C)COC(=O)[C@@H]2CCCN(N2)C1=O)N1CCCC2(CCN(C(=O)CCl)C2)C1=O,743458,IC50,1785.0,1,,10.7270/Q2SF31Q6,0
CC(COc1nccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CCC4N=O)[nH]2)n1)N(C)C,26042,Kd,0.5,1,18621524,10.1016/j.bmcl.2008.06.070,1
CC(N=Nc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1ccccc1)c1ccc([N+](=O)[O-])cc1,25383,IC50,4600.0,1,18783202,10.1021/jm800539g,0
CC(N=Nc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1ccccc1)c1ccccc1,25390,IC50,11360.0,1,18783202,10.1021/jm800539g,0
CC(O)C(=O)N1CCC(C)(n2cnc3cnc4cc(F)c(-c5ccc(Oc6ncccn6)cc5Cl)cc4c32)CC1,200399,IC50,73.0,1,,10.7270/Q2W094RM,0
CC1(C)CC2=NNC(=O)c3cc(F)cc4[nH]c(c2c34)C1,207564,IC50,136000.0,1,,10.7270/Q2CN75ZV,0
CC1(C)CC2=NNC(=O)c3cccc4c3c2c(n4CC2CO2)C1,207596,IC50,1000000.0,1,,10.7270/Q2CN75ZV,0
