canonical_smiles,monomerid,affinity_type,min_affinity_nm,n_measurements,pmid,doi,active
C=C(C(=O)NCC)c1ccc(Nc2nc(-c3c(F)cccc3F)nc3c2C(=O)NC3)cc1,332914,Ki,550.0,1,,10.7270/Q22809Q4,0
C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,209866,IC50,1507.0,1,27791347,10.1021/acschembio.6b00677,0
C=S(C)(=O)Cc1ccc2c(N[C@@H]3C[C@H]4CC[C@@H](C3)N4CCC(F)(F)F)nc(Nc3cc(C)[nH]n3)cc2n1,757917,Ki,0.55,1,,10.7270/Q2FX7G80,1
C=S(C)(=O)Cc1ccc2c(N[C@@H]3C[C@H]4CC[C@@H](C3)N4CCCF)nc(Nc3cc(C)[nH]n3)cc2n1,757916,Ki,0.55,1,,10.7270/Q2FX7G80,1
CC(=O)N(C)c1ccc(Nc2cc(NCc3cccc(F)c3)c(C(N)=O)nn2)cc1,362312,IC50,550.0,1,,10.7270/Q2TQ63V1,0
CC(=O)N1CCC(Cn2cc(Nc3cc(NCc4cccc(F)c4)c(C(N)=O)nn3)cn2)CC1,362338,IC50,550.0,1,,10.7270/Q2TQ63V1,0
CC(=O)N1CCC(Cn2cc(Nc3cc(NCc4cccc(F)c4F)c(C(N)=O)nn3)cn2)CC1,362337,IC50,550.0,1,,10.7270/Q2TQ63V1,0
CC(=O)N1CCC(Cn2cc(Nc3cc(NCc4cccc5ccsc45)c(C(N)=O)nn3)cn2)CC1,362336,IC50,55.0,1,,10.7270/Q2TQ63V1,0
CC(=O)N1CCC(Oc2ccc(-c3ncnc(Nc4ccc(N5CCN(C6COC6)CC5)cc4)n3)cc2C#N)C1,277776,IC50,724.0,2,,10.7270/Q22V2J41,0
CC(=O)N1CCN(C(=O)c2ccc(Nc3cc(NCc4cccc(F)c4)c(C(N)=O)nn3)cc2)CC1,362290,IC50,550.0,1,,10.7270/Q2TQ63V1,0
