canonical_smiles,active
N#C[C@@H]1CS[C@H]2C[C@@H](NC(=O)OCc3ccccc3)C(=O)N12,0
COC(OC)[C@@H]1CSCN1C(=O)[C@@H]1CSCN1C(=O)CC1Cc2ccccc2C1,0
O=C(C1CCCN1C(=O)CCCc1ccccc1)N1CCCC1,1
O=C(c1cc(-c2ccccc2)on1)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1,1
O=C(CCC1CCCCC1)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N1CCCCC1,1
O=C([C@@H]1CCCN1C(=O)OCc1ccccc1)N1CCCC1,0
O=C(CCCc1ccccc1)C1=C(C(=O)N2CCCC2)CCC1,0
CC(C)[C@H](NC(=O)c1cccc(Oc2ccccc2)c1)C(=O)N1CCC[C@H]1C(=O)N1CCCCC1,1
O=C(c1nc2ccccc2s1)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1,1
O=C(c1cncs1)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1,0
O=C(c1ccc[nH]1)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1,0
O=C(c1ncc[nH]1)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1,1
O=C(c1cccnc1)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1,0
O=C(c1ccccn1)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1,1
O=C(c1cscn1)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1,1
O=CC1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1,1
CC(NC(=O)[C@H](CC(=O)N(C)C)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)C(=O)c1nc2ccccc2o1,0
CC(NC(=O)[C@H](CC(=O)N(C)C)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)C(=O)c1nc2ccccc2s1,0
CC(C)C(=O)[C@H]1CCCN1C(=O)c1cccc(C(=O)N2CCC[C@H]2C(=O)N2CCC[C@@H]2C#N)c1,1
N#C[C@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)c1cccc(C(=O)N2CCC[C@@H]2C(=O)C2CCCC2)c1,1
O=C(c1ccccc1)[C@H]1CCCN1C(=O)c1cccc(C(=O)N2CCC[C@H]2C(=O)N2CCCC2)c1,0
O=C(C1CCCC1)[C@H]1CCCN1C(=O)c1cccc(C(=O)N2CCC[C@H]2C(=O)N2CCCC2)c1,0
