molecule_chembl_id,canonical_smiles,max_pchembl,n_measurements,min_document_year,active
CHEMBL101425,CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c([N+](=O)[O-])c1,6.84,1,2010,1
CHEMBL102275,CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(N)c1,6.51,1,2010,1
CHEMBL102317,C#CCN(Cc1ccc2nc(C(C)C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,6.21,1,2010,1
CHEMBL102469,O=C(O)CC[C@H](NC(=O)c1ccc(N(CCF)Cc2ccc3nc(CF)[nH]c(=O)c3c2)cc1)C(=O)O,6.47,1,2010,1
CHEMBL102938,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(C(F)(F)F)c1,6.32,1,2010,1
CHEMBL103029,CCN(Cc1ccc2nc(CF)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,6.43,1,2010,1
CHEMBL103059,C#CCN(Cc1ccc2nc[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,6.77,1,2010,1
CHEMBL104025,Cc1nc2ccc(CN(CCO)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,6.3,1,2010,1
CHEMBL104096,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(N)c1,6.54,1,2010,1
CHEMBL104104,CC(=O)CN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,4.6,1,2010,0
CHEMBL104110,Cc1nc2ccc(CN(CCN)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c3)cc2c(=O)[nH]1,4.93,1,2010,0
CHEMBL104230,C#CCN(Cc1ccc2nc(N)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c1,8.05,1,2010,1
CHEMBL104267,Cc1nc2ccc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3F)cc2c(=O)[nH]1,5.03,1,2010,0
CHEMBL104358,Cc1nc2ccc(CN(CCF)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c3)cc2c(=O)[nH]1,7.37,1,2010,1
CHEMBL104410,C#CCN(Cc1ccc2nc(CO)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c1,7.24,1,2010,1
CHEMBL104483,CCN(Cc1ccc2nc(CO)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,6.58,1,2010,1
CHEMBL104533,Cc1nc2ccc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c3)cc2c(=O)[nH]1,5.42,1,2010,0
CHEMBL104624,Cc1nc2ccc(CN(CCO)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3F)cc2c(=O)[nH]1,5.45,1,2010,0
CHEMBL104638,CN(Cc1ccc2nc(CF)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,5.54,1,2010,0
CHEMBL104670,Cc1nc2ccc(CN(CCCO)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3F)cc2c(=O)[nH]1,6.01,1,2010,1
CHEMBL104694,COCCCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,4.89,1,2010,0
CHEMBL104748,Cc1nc2ccc(CN(CCCO)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,6.27,1,2010,1
CHEMBL104759,Cc1nc2ccc(CN(CCF)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,6.62,1,2010,1
CHEMBL104846,O=C(O)CC[C@H](NC(=O)c1ccc(N(CCF)Cc2ccc3nc(CO)[nH]c(=O)c3c2)cc1)C(=O)O,6.66,1,2010,1
CHEMBL104851,Cc1nc2ccc(CN(CCCO)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c3)cc2c(=O)[nH]1,6.23,1,2010,1
