molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value,assay_chembl_id,assay_description,assay_type,target_chembl_id,target_pref_name,target_organism,activity_id,document_chembl_id,document_year,data_validity_comment,potential_duplicate
CHEMBL365261,CC(NC(=O)/C(=C\c1ccco1)NC(=O)c1ccco1)C(=O)O,IC50,10500.0,nM,=,4.98,CHEMBL874439,In vitro inhibition of A disintegrin and metalloprotease domain 10 (ADAM10),B,CHEMBL5028,Disintegrin and metalloproteinase domain-containing protein 10,Homo sapiens,1460283,CHEMBL1137109,2004,,0
CHEMBL19611,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,IC50,8.1,nM,=,8.09,CHEMBL874439,In vitro inhibition of A disintegrin and metalloprotease domain 10 (ADAM10),B,CHEMBL5028,Disintegrin and metalloproteinase domain-containing protein 10,Homo sapiens,1460555,CHEMBL1137109,2004,,0
CHEMBL221857,O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CCN(c2ccccc2)CC1,IC50,120.0,nM,=,6.92,CHEMBL911374,Inhibition of ADAM10,B,CHEMBL5028,Disintegrin and metalloproteinase domain-containing protein 10,Homo sapiens,1815811,CHEMBL1141384,2007,,0
CHEMBL434567,COC(=O)N1CC2(CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CC=C(c2ccccc2)CC1,IC50,59.0,nM,=,7.23,CHEMBL911374,Inhibition of ADAM10,B,CHEMBL5028,Disintegrin and metalloproteinase domain-containing protein 10,Homo sapiens,1815826,CHEMBL1141384,2007,,0
CHEMBL219105,CN1CC2(CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CC=C(c2ccccc2)CC1,IC50,77.0,nM,=,7.11,CHEMBL911374,Inhibition of ADAM10,B,CHEMBL5028,Disintegrin and metalloproteinase domain-containing protein 10,Homo sapiens,1815827,CHEMBL1141384,2007,,0
CHEMBL387202,CN1CC2(CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CCN(c2ccccc2)CC1,IC50,310.0,nM,=,6.51,CHEMBL911374,Inhibition of ADAM10,B,CHEMBL5028,Disintegrin and metalloproteinase domain-containing protein 10,Homo sapiens,1815828,CHEMBL1141384,2007,,0
CHEMBL375418,O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CC=C(c2ccccc2)C1,IC50,23.0,nM,=,7.64,CHEMBL911374,Inhibition of ADAM10,B,CHEMBL5028,Disintegrin and metalloproteinase domain-containing protein 10,Homo sapiens,1815829,CHEMBL1141384,2007,,0
CHEMBL221698,O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CC[C@H](c2ccccc2)C1,IC50,97.0,nM,=,7.01,CHEMBL911374,Inhibition of ADAM10,B,CHEMBL5028,Disintegrin and metalloproteinase domain-containing protein 10,Homo sapiens,1815830,CHEMBL1141384,2007,,0
CHEMBL426388,O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CCN2c3ccccc3CC2C1,IC50,330.0,nM,=,6.48,CHEMBL911374,Inhibition of ADAM10,B,CHEMBL5028,Disintegrin and metalloproteinase domain-containing protein 10,Homo sapiens,1815831,CHEMBL1141384,2007,,0
CHEMBL373853,Cc1cc([N+](=O)[O-])ccc1C1=CCN(C(=O)[C@H]2NCC3(CC3)C[C@@H]2C(=O)NO)CC1,IC50,130.0,nM,=,6.89,CHEMBL911374,Inhibition of ADAM10,B,CHEMBL5028,Disintegrin and metalloproteinase domain-containing protein 10,Homo sapiens,1815832,CHEMBL1141384,2007,,0
CHEMBL221120,Cc1cc([N+](=O)[O-])ccc1N1CCN(C(=O)[C@H]2NCC3(CC3)C[C@@H]2C(=O)NO)CC1,IC50,110.0,nM,=,6.96,CHEMBL911374,Inhibition of ADAM10,B,CHEMBL5028,Disintegrin and metalloproteinase domain-containing protein 10,Homo sapiens,1815833,CHEMBL1141384,2007,,0
CHEMBL218586,CC1=C(c2ccccc2)CCN(C(=O)[C@H]2NCC3(CC3)C[C@@H]2C(=O)NO)C1,IC50,720.0,nM,=,6.14,CHEMBL911374,Inhibition of ADAM10,B,CHEMBL5028,Disintegrin and metalloproteinase domain-containing protein 10,Homo sapiens,1815835,CHEMBL1141384,2007,,0
CHEMBL219104,O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CCC(c2ccccc2)CC1,IC50,320.0,nM,=,6.50,CHEMBL911374,Inhibition of ADAM10,B,CHEMBL5028,Disintegrin and metalloproteinase domain-containing protein 10,Homo sapiens,1815836,CHEMBL1141384,2007,,0
CHEMBL373532,O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CC=C(c2ccccc2)CC1,IC50,33.0,nM,=,7.48,CHEMBL911374,Inhibition of ADAM10,B,CHEMBL5028,Disintegrin and metalloproteinase domain-containing protein 10,Homo sapiens,1815837,CHEMBL1141384,2007,,0
CHEMBL221537,O=C(NO)[C@H]1CCCN[C@@H]1C(=O)N1CC[C@H](c2ccccc2)C1,IC50,480.0,nM,=,6.32,CHEMBL911374,Inhibition of ADAM10,B,CHEMBL5028,Disintegrin and metalloproteinase domain-containing protein 10,Homo sapiens,1815898,CHEMBL1141384,2007,,0
CHEMBL221857,O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CCN(c2ccccc2)CC1,IC50,52.0,nM,=,7.28,CHEMBL927683,Inhibition of HER2 sheddase in BT474 cells by extracellular domain shedding assay,B,CHEMBL5028,Disintegrin and metalloproteinase domain-containing protein 10,Homo sapiens,2072888,CHEMBL1140791,2008,,0
CHEMBL221857,O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CCN(c2ccccc2)CC1,IC50,118.0,nM,=,6.93,CHEMBL927684,Binding affinity to ADAM10,B,CHEMBL5028,Disintegrin and metalloproteinase domain-containing protein 10,Homo sapiens,2072889,CHEMBL1140791,2008,,1
