molecule_chembl_id,canonical_smiles,max_pchembl,n_measurements,min_document_year,active
CHEMBL1077203,O=C1NC(=O)[C@](CN2Cc3ccc(Cl)cc3C2=O)(c2ccc(F)cc2)N1,6.61,1,2010,1
CHEMBL1088878,CC#CCOc1ccc(S(=O)(=O)N(CC(C)C)[C@H](CCN2C(=O)c3ccccc3C2=O)C(=O)NO)cc1,5.7,1,2010,0
CHEMBL1089842,CC#CCOc1ccc(S(=O)(=O)N[C@H](CCNC(=O)OCc2ccccc2)C(=O)NO)cc1,6.62,1,2010,1
CHEMBL1089843,CC#CCOc1ccc(S(=O)(=O)N[C@H](CCN2C(=O)c3ccccc3C2=O)C(=O)NO)cc1,6.72,1,2010,1
CHEMBL1093690,CC(=O)NCC[C@@H](NS(=O)(=O)c1ccc(Br)cc1)C(=O)NO,5.64,1,2010,0
CHEMBL1204013,Cl.O=C(NO)[C@H]1CC(OC(=O)N2CCCC2)CN[C@@H]1C(=O)N1CC[C@H](c2ccccc2)C1,7.08,1,2009,1
CHEMBL1229516,CNC(=O)[C@@H](NC(=O)[C@H](CCCc1ccccc1)[C@H](C)N(O)C=O)C(C)(C)C,7.57,10,2016,1
CHEMBL1287851,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cccnc3)NC(=O)NC1=O)C2,7.66,1,2010,1
CHEMBL1770629,C[C@@H](NC(=O)[C@H](O)[C@@H](O)C(=O)N1CCC[C@@H]1c1cccc(Cl)c1)c1ccc(-n2cccn2)cc1,6.78,2,2010,1
CHEMBL1770649,C[C@@H](NC(=O)[C@H](O)[C@@H](O)C(=O)N1CCC[C@@H]1c1csc(NC2CC2)n1)c1ccc(-n2cccn2)cc1,5.87,1,2011,0
CHEMBL1770826,CNc1nc([C@H]2c3ccccc3CN2C(=O)[C@H](O)[C@@H](O)C(=O)N[C@H](C)c2ccc(-n3cccn3)cc2)cs1,6.92,1,2011,1
CHEMBL1779630,O=C(NCc1ccc(-n2cccn2)cc1)[C@H](O)[C@@H](O)C(=O)N1CCCC1c1cccc(Cl)c1,6.22,1,2010,1
CHEMBL19611,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,8.09,2,2004,1
CHEMBL206815,CC1(C)SCCN(S(=O)(=O)c2ccc(OCC#CCO)cc2)[C@H]1C(=O)NO,7.15,2,2016,1
CHEMBL218586,CC1=C(c2ccccc2)CCN(C(=O)[C@H]2NCC3(CC3)C[C@@H]2C(=O)NO)C1,6.14,1,2007,1
CHEMBL219104,O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CCC(c2ccccc2)CC1,6.86,3,2007,1
CHEMBL219105,CN1CC2(CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CC=C(c2ccccc2)CC1,7.11,1,2007,1
CHEMBL221120,Cc1cc([N+](=O)[O-])ccc1N1CCN(C(=O)[C@H]2NCC3(CC3)C[C@@H]2C(=O)NO)CC1,6.96,1,2007,1
CHEMBL221537,O=C(NO)[C@H]1CCCN[C@@H]1C(=O)N1CC[C@H](c2ccccc2)C1,6.32,1,2007,1
CHEMBL221698,O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CC[C@H](c2ccccc2)C1,7.01,2,2007,1
CHEMBL221857,O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CCN(c2ccccc2)CC1,7.28,4,2007,1
CHEMBL2431021,O=C(CNS(=O)(=O)c1ccc(OCc2cc(Br)cc(Br)c2)cc1)NO,4.41,1,2013,0
CHEMBL2431026,O=C(NCC[C@@H](NS(=O)(=O)c1ccc(OCc2cc(Br)cc(Br)c2)cc1)C(=O)NO)OCc1ccccc1,5.09,1,2013,0
CHEMBL2431027,O=C(NCCC[C@@H](NS(=O)(=O)c1ccc(OCc2cc(Br)cc(Br)c2)cc1)C(=O)NO)OCc1ccccc1,6.52,11,2013,1
CHEMBL2431028,NC(=O)NCCC[C@@H](NS(=O)(=O)c1ccc(OCc2cc(Br)cc(Br)c2)cc1)C(=O)NO,6.82,2,2013,1
CHEMBL251820,O=C(O[C@H]1CCOC1)N1CCC(CS(=O)(=O)N2CC=C(c3ccccc3)CC2)(C(=O)NO)CC1,8.15,2,2008,1
CHEMBL251823,Cc1ccccc1N1CCN(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)O[C@H]3CCOC3)CC2)CC1,6.97,2,2008,1
CHEMBL251830,Cc1cc(C#N)ccc1C1=CCN(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)O[C@H]3CCOC3)CC2)CC1,7.35,2,2008,1
CHEMBL251847,O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CCN(c2cccc(Cl)c2)CC1,7.85,2,2008,1
CHEMBL251848,CC(C)c1cccc(N2CCN(C(=O)[C@H]3NCC4(CC4)C[C@@H]3C(=O)NO)CC2)c1,5.96,1,2008,0
CHEMBL251865,COC(=O)N1CC2(CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1C=CC(c2ccccc2)CC1,7.23,2,2008,1
CHEMBL251884,Cc1cccc(C2=CCN(C(=O)[C@H]3NCC4(CC4)C[C@@H]3C(=O)NO)CC2)c1,7.6,2,2008,1
CHEMBL252023,Cc1ccccc1C1=CCN(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)O[C@H]3CCOC3)CC2)CC1,7.75,2,2008,1
CHEMBL252024,Cc1cc(C#N)ccc1N1CCN(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)O[C@H]3CCOC3)CC2)CC1,7.6,2,2008,1
CHEMBL252079,COc1cccc(C2=CCN(C(=O)[C@H]3NCC4(CC4)C[C@@H]3C(=O)NO)CC2)c1,7.4,2,2008,1
CHEMBL252081,CC(C)c1cccc(C2=CCN(C(=O)[C@H]3NCC4(CC4)C[C@@H]3C(=O)NO)CC2)c1,7.14,2,2008,1
