molecule_chembl_id,canonical_smiles,max_pchembl,n_measurements,min_document_year,active
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,6.28,4,2008,0
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,7.22,4,2008,0
CHEMBL1076204,CN1CCN(c2ccc(-c3cnn4c(-c5cc(NC(=O)c6cccc(C(F)(F)F)c6)ccc5F)ccnc34)cn2)CC1,7.52,1,2009,0
CHEMBL1076206,CC(=O)N1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4ccc(F)c(O)c4)c(-c4ccncc4)nn23)cc1,9.3,1,2009,1
CHEMBL1076233,COc1cc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6C)cc4C)ccnc23)ccc1F,9.0,1,2009,1
CHEMBL1076439,COCCOCC(=O)Nc1ccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)cc1,6.86,1,2009,0
CHEMBL1076440,CN(C)CC(=O)Nc1ccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)cc1,7.47,1,2009,0
CHEMBL1076441,CN(C)CC(=O)Nc1cccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)c1,7.4,1,2009,0
CHEMBL1076482,CN1CCN(Cc2ccc(-c3cnn4c(-c5cccc(NC(=O)c6cccc(C(F)(F)F)c6)c5)ccnc34)cc2)CC1,7.42,1,2009,0
CHEMBL1076497,CN1CCN(c2ccc(-c3cnn4c(-c5cccc(NC(=O)c6cccc(C(F)(F)F)c6)c5)ccnc34)cn2)CC1,7.36,1,2009,0
CHEMBL1076541,CCN1CCN(Cc2cc(-c3cnn4c(-c5cccc(NC(=O)c6cccc(C(F)(F)F)c6)c5)ccnc34)co2)CC1,6.66,1,2009,0
CHEMBL1079785,COc1cc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6)cc4)ccnc23)ccc1F,8.06,1,2009,1
CHEMBL1080268,CN1CCN(CCCC#Cc2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)CC1,6.08,1,2009,0
CHEMBL1080269,CN(C)c1ccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)cc1,6.51,1,2009,0
CHEMBL1080437,COc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1ccnc2c(-c3cn[nH]c3)cnn12,7.01,1,2009,0
CHEMBL1080438,O=C(Nc1ccc(F)c(-c2ccnc3c(-c4cn[nH]c4)cnn23)c1)c1cccc(C(F)(F)F)c1,7.75,1,2009,0
CHEMBL1080439,O=C(Nc1ccc(Cl)c(-c2ccnc3c(-c4cn[nH]c4)cnn23)c1)c1cccc(C(F)(F)F)c1,7.38,1,2009,0
CHEMBL1080476,CN1C2CCC1CN(c1ccc(-c3ccnc4c(-c5cccc(O)c5)c(-c5ccncc5)nn34)cc1)C2,9.05,1,2009,1
CHEMBL1080615,COc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6C)cc4)ccnc23)c1,8.09,1,2009,1
CHEMBL1080616,COc1cc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6C)cc4)ccnc23)ccc1F,7.68,1,2009,0
CHEMBL1080650,CCN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4ccc(F)c(O)c4)c(-c4ccncc4)nn23)cc1,9.29,1,2009,1
CHEMBL1080651,COc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6)cc4)ccnc23)c1,7.92,1,2009,0
CHEMBL1080652,COc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6)cc4F)ccnc23)c1,9.36,1,2009,1
CHEMBL1080656,O=C(Nc1cccc(-c2ccnc3c(C#CCCCN4CCOCC4)cnn23)c1)c1cccc(C(F)(F)F)c1,6.26,1,2009,0
CHEMBL1080832,COc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5CC6CCC(C5)N6C)cc4)ccnc23)c1,7.77,1,2009,0
CHEMBL1081470,O=C(Nc1cccc(-c2ccnc3c(-c4cn[nH]c4)cnn23)c1)c1cccc(C(F)(F)F)c1,7.08,1,2009,0
CHEMBL1081647,O=C(Nc1cccc(-c2ccnc3c(-c4cnn(CCN5CCCC5)c4)cnn23)c1)c1cccc(C(F)(F)F)c1,6.41,1,2009,0
CHEMBL1081817,O=C(Nc1cccc(-c2ccnc3c(-c4ccoc4)cnn23)c1)c1cccc(C(F)(F)F)c1,6.49,1,2009,0
CHEMBL1081818,O=C(Nc1cccc(-c2ccnc3c(-c4coc(CN5CCCC5)c4)cnn23)c1)c1cccc(C(F)(F)F)c1,6.44,1,2009,0
CHEMBL1082551,CC1=C(C#N)c2nc(N)c(C#N)c(C)c2/C1=C/c1ccc(O)cc1,4.7,1,2010,0
CHEMBL1086870,NC(=O)c1cccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)c1,7.24,1,2009,0
CHEMBL1086871,Oc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N[C@H]5CN6CCC5CC6)cc4)ccnc23)c1,9.0,1,2009,1
CHEMBL1087000,Oc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6)cc4)ccnc23)c1,9.31,1,2009,1
CHEMBL1087397,CN(C)Cc1ccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)cc1,7.62,1,2009,0
