molecule_chembl_id,canonical_smiles,max_pchembl,n_measurements,min_document_year,active
CHEMBL1079474,N#C[C@@H]1CS[C@H]2C[C@@H](NC(=O)OCc3ccccc3)C(=O)N12,6.7,1,2016,0
CHEMBL1086828,COC(OC)[C@@H]1CSCN1C(=O)[C@@H]1CSCN1C(=O)CC1Cc2ccccc2C1,5.54,1,2010,0
CHEMBL1086845,O=C(C1CCCN1C(=O)CCCc1ccccc1)N1CCCC1,8.89,1,2010,1
CHEMBL1086967,O=C(c1cc(-c2ccccc2)on1)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1,8.8,1,2010,1
CHEMBL1087096,O=C(CCC1CCCCC1)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N1CCCCC1,8.98,1,2010,1
CHEMBL1088406,O=C([C@@H]1CCCN1C(=O)OCc1ccccc1)N1CCCC1,6.46,1,2012,0
CHEMBL1088412,O=C(CCCc1ccccc1)C1=C(C(=O)N2CCCC2)CCC1,6.64,1,2010,0
CHEMBL1096175,CC(C)[C@H](NC(=O)c1cccc(Oc2ccccc2)c1)C(=O)N1CCC[C@H]1C(=O)N1CCCCC1,8.98,1,2010,1
CHEMBL115854,O=C(c1nc2ccccc2s1)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1,8.4,1,1994,1
CHEMBL115968,O=C(c1cncs1)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1,6.19,2,1994,0
CHEMBL116509,O=C(c1ccc[nH]1)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1,4.67,1,1994,0
CHEMBL117401,O=C(c1ncc[nH]1)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1,8.05,1,1994,1
CHEMBL117920,O=C(c1cccnc1)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1,5.64,1,1994,0
