molecule_chembl_id,max_inhibition_pct,min_mic_ugmL,min_mic_nM,canonical_smiles,active
CHEMBL1000,16.42,,,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0
CHEMBL100239,,,20000.0,Nc1nc(N)c2c(Sc3ccccc3)cccc2n1,1
CHEMBL1017,38.9,,,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,0
CHEMBL101815,15.65,,,O=[N+]([O-])c1cc2cccnc2c2ncccc12,0
CHEMBL102397,,,10000.0,N#Cc1cn(C2OC(CO)C(O)C2O)c2ncnc(N)c12,1
CHEMBL1026,12.84,,,CS(=O)(=O)O.Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,0
CHEMBL1029,,,20000.0,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,1
CHEMBL103,17.62,,,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0
CHEMBL103299,16.57,,,Cc1ccc(CCN)cc1,0
CHEMBL1034,8.93,,,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],0
CHEMBL103823,-10.78,,,Cn1cnc2ncnn2c1=S,0
CHEMBL104,,,10000.0,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,1
CHEMBL104255,10.96,,,COc1cc(O)c(C(=O)/C=C/c2ccccc2)c(OC)c1,0
CHEMBL104270,,,312.5,Cc1ccc(S(=O)(=O)O)cc1.NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,1
CHEMBL1043,8.27,,,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0
CHEMBL104916,-8.15,,,COc1ccccc1/C=C1\Cc2ccccc2C1=O,0
CHEMBL105,,,10000.0,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,1
CHEMBL1051,38.15,,,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,0
CHEMBL1055,9.93,,,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,0
CHEMBL106,,,10000.0,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,1
CHEMBL1064,2.51,,,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,0
CHEMBL106454,,,20000.0,O=C(O)/C=C/C=C/c1cccc(Oc2cc(Cl)cc(Cl)c2)c1,1
CHEMBL1068,18.9,,,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,0
CHEMBL1069,30.1,,,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,0
CHEMBL107,8.5,,,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0
CHEMBL1070,12.84,,,COc1ccc2cc(CCC(C)=O)ccc2c1,0
CHEMBL1071,23.23,,,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,0
CHEMBL1072,10.04,,,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,0
CHEMBL1073,16.96,,,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,0
CHEMBL1077166,9.5,,,CCOC(=O)C1=C(C)OC(N)=C(C#N)C1c1ccc([N+](=O)[O-])cc1,0
CHEMBL1077994,14.82,,,Cc1cc(N2CCN(C)CC2)n2nc(-c3ccc(Cl)cc3)nc2n1,0
CHEMBL1079446,4.21,,,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0
CHEMBL1079576,8.0,,,NC(=O)OCCCc1ccccc1,0
CHEMBL108,9.78,,,NC(=O)N1c2ccccc2C=Cc2ccccc21,0
CHEMBL108014,13.09,,,CC(O)CCc1ccc(O)cc1,0
CHEMBL1080267,,,20000.0,CC(C)CCN1C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C(O)[C@@H]2[C@H]3CC[C@H](C3)[C@@H]21,1
CHEMBL1082,10.8,,,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0
CHEMBL1082479,,,20000.0,Fc1ccc(-c2nc(-c3c[nH]c4ccc(Br)cc34)[nH]c2-c2ccc(F)cc2)cc1,1
CHEMBL1083323,,,20000.0,CN(C(=O)C1(c2ccc(Cl)cc2)CCC1)c1ccccc1,1
CHEMBL1083993,,,10000.0,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl,1
CHEMBL1085463,18.44,,,O=C(Oc1nsnc1N1CCCCC1)N1CCOCC1,0
CHEMBL1085705,21.01,,,c1cc2c(cc1CN1CCOCC1)OCO2,0
CHEMBL1086440,14.05,,,CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,0
CHEMBL1087042,14.54,,,CCOC(=O)C1=C(C)OC(N)=C(C#N)C1c1ccccc1,0
CHEMBL1087194,17.4,,,CCOC(=O)c1cc2c(N)c3c(nc2nc1C)CCCC3,0
CHEMBL108821,,,156.2,N[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn([C@@H]4C[C@@H]4F)c3c2Cl)CC12CC2,1
CHEMBL1088474,,32.0,,CCOC(=O)C1=C(C)OC(N)=C(C#N)C1c1ccc(Cl)cc1,0
CHEMBL1088477,34.42,,,CCOC(=O)C1=C(C)OC(N)=C(C#N)C1c1ccc(OC)cc1,0
CHEMBL1089781,,,20000.0,O=S(=O)(NCB(O)O)c1cc2c(Cl)ccc(Cl)c2s1,1
CHEMBL109,13.05,,,CCCC(CCC)C(=O)O,0
CHEMBL1090,12.75,,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0
CHEMBL1091,18.68,,,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0
CHEMBL1091644,6.6,,,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,0
CHEMBL1092,14.72,,,Cl.OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,0
CHEMBL1092703,,,20000.0,Nc1ccc(-c2nc3cc(C(F)(F)F)ccc3n2C23CC4CC(CC(C4)C2)C3)cc1,1
CHEMBL1094051,16.37,,,N#CCN(CCCCN1CCN(c2ccc(F)cc2)CC1)C(=O)OCc1ccccc1,0
CHEMBL1095280,17.98,,,Nc1ncnc2c1ncn2C[C@@H](O)[C@@H](O)C(=O)O,0
CHEMBL1096,21.06,,,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,0
CHEMBL109652,22.3,,,COc1cccc(OC)c1O,0
CHEMBL1097904,9.52,,,COc1cc(C)c([S+](C)[O-])cc1OC,0
CHEMBL110,15.47,,,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,0
CHEMBL110739,17.17,,,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,0
CHEMBL1108,9.76,,,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,0
CHEMBL1112,14.8,,,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,0
CHEMBL1113,14.02,,,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,0
CHEMBL1116,4.22,,,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0
CHEMBL111788,,,20000.0,Clc1cc2nc(C3CCNCC3)n(Cc3ccc(CNCCc4c[nH]cn4)cc3)c2cc1Cl,1
CHEMBL1128,11.75,,,CC[N+](C)(C)c1cccc(O)c1.[Cl-],0
CHEMBL1131,5.45,,,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,0
CHEMBL1133,7.68,,,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1.Cl,0
CHEMBL113564,,,20000.0,Cc1cc(CCOc2c(C)cc(-c3nnn(C)n3)cc2C)on1,1
CHEMBL113793,-4.8,,,COc1ccnc(N)c1,0
CHEMBL1138,24.27,,20000.0,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,1
