molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value,assay_chembl_id,assay_description,assay_type,target_chembl_id,target_pref_name,target_organism,activity_id,document_chembl_id,document_year,data_validity_comment,potential_duplicate
CHEMBL169896,Cc1nc2ccc3ccc(CNc4ccc5c(c4)CN([C@@H](CCC(=O)O)C(=O)O)C5=O)cc3c2c(=O)[nH]1,Ki,0.09,nM,=,10.05,CHEMBL811584,The compound was tested for inhibitory activity against thymidylate synthase (purified recombinant human gene) from Escherichia coli,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,33578,CHEMBL1127675,1994,,0
CHEMBL169506,Cc1nc(O)c2c(ccc3ccc(CNc4ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s4)cc32)n1,Ki,1.1,nM,=,8.96,CHEMBL811584,The compound was tested for inhibitory activity against thymidylate synthase (purified recombinant human gene) from Escherichia coli,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,37246,CHEMBL1127675,1994,,0
CHEMBL355323,Cc1nc(O)c2c(ccc3ccc(CNc4ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c4)cc32)n1,Ki,0.09,nM,=,10.05,CHEMBL811584,The compound was tested for inhibitory activity against thymidylate synthase (purified recombinant human gene) from Escherichia coli,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,39611,CHEMBL1127675,1994,,0
CHEMBL324739,Cc1nc(O)c2c(ccc3ccc(S(=O)(=O)Nc4ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc4)cc32)n1,Ki,5.5,nM,=,8.26,CHEMBL811584,The compound was tested for inhibitory activity against thymidylate synthase (purified recombinant human gene) from Escherichia coli,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,51960,CHEMBL1127675,1994,,1
CHEMBL168907,Cc1nc(O)c2c(ccc3ccc(CNc4ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc4)cc32)n1,Ki,0.44,nM,=,9.36,CHEMBL811585,The compound was tested for inhibitory activity against thymidylate synthase (purified recombinant human gene) from Escherichia coli.,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,53329,CHEMBL1127675,1994,,0
CHEMBL168367,Cc1nc(O)c2c(ccc3ccc(CN(C)c4ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc4)cc32)n1,Ki,22.0,nM,=,7.66,CHEMBL811585,The compound was tested for inhibitory activity against thymidylate synthase (purified recombinant human gene) from Escherichia coli.,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,55727,CHEMBL1127675,1994,,0
CHEMBL167164,Cc1nc(O)c2c(ccc3ccc(CNc4ccc5c(=O)n([C@@H](CCC(=O)O)C(=O)O)sc5c4)cc32)n1,Ki,4.0,nM,=,8.40,CHEMBL811584,The compound was tested for inhibitory activity against thymidylate synthase (purified recombinant human gene) from Escherichia coli,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,55761,CHEMBL1127675,1994,,0
CHEMBL355662,Nc1nc(O)c2c(ccc3ccc(CNc4ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc4)cc32)n1,Ki,1.2,nM,=,8.92,CHEMBL811585,The compound was tested for inhibitory activity against thymidylate synthase (purified recombinant human gene) from Escherichia coli.,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,68550,CHEMBL1127675,1994,,0
CHEMBL355616,Cc1nc(O)c2c(ccc3ccc(CN(C)c4ccc5c(c4)CN([C@@H](CCC(=O)O)C(=O)O)C5=O)cc32)n1,Ki,2.5,nM,=,8.60,CHEMBL811584,The compound was tested for inhibitory activity against thymidylate synthase (purified recombinant human gene) from Escherichia coli,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,71191,CHEMBL1127675,1994,,0
CHEMBL61708,Nc1nc(O)c2c(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2n1,IC50,5800.0,nM,=,5.24,CHEMBL880227,Inhibitory activity against recombinant Pneumocystis carinii TS,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,83625,CHEMBL1134503,2001,,0
CHEMBL61708,Nc1nc(O)c2c(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2n1,IC50,4600.0,nM,=,5.34,CHEMBL817509,Inhibitory activity against human thymidylate synthase,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,83626,CHEMBL1134503,2001,,0
CHEMBL389051,C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,IC50,5000.0,nM,=,5.30,CHEMBL816047,Inhibitory activity against recombinant Pneumocystis carinii TS,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,85623,CHEMBL1134503,2001,,0
CHEMBL389051,C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,IC50,1500.0,nM,=,5.82,CHEMBL817509,Inhibitory activity against human thymidylate synthase,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,85624,CHEMBL1134503,2001,,0
CHEMBL225072,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,IC50,5700.0,nM,=,5.24,CHEMBL880227,Inhibitory activity against recombinant Pneumocystis carinii TS,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,87719,CHEMBL1134503,2001,,0
CHEMBL225072,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,IC50,5700.0,nM,=,5.24,CHEMBL817509,Inhibitory activity against human thymidylate synthase,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,87720,CHEMBL1134503,2001,,0
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,IC50,3600.0,nM,=,5.44,CHEMBL817509,Inhibitory activity against human thymidylate synthase,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,101652,CHEMBL1134503,2001,,0
CHEMBL57310,Cc1[nH]c2nc(N)nc(O)c2c1Sc1ccncc1,IC50,340.0,nM,=,6.47,CHEMBL816742,The inhibitory concentration of compound was evaluated on Human Thymidylate synthase,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,146475,CHEMBL1129396,1996,,0
CHEMBL57310,Cc1[nH]c2nc(N)nc(O)c2c1Sc1ccncc1,IC50,29000.0,nM,=,4.54,CHEMBL816048,The inhibitory concentration of compound was evaluated on Streptococcus faecium Thymidylate synthase,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,146479,CHEMBL1129396,1996,,0
CHEMBL141869,Cc1[nH]c2nc(N)nc(O)c2c1Sc1ccccc1,IC50,30000.0,nM,=,4.52,CHEMBL816742,The inhibitory concentration of compound was evaluated on Human Thymidylate synthase,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,147656,CHEMBL1129396,1996,,0
CHEMBL141869,Cc1[nH]c2nc(N)nc(O)c2c1Sc1ccccc1,IC50,60000.0,nM,=,4.22,CHEMBL814297,The inhibitory concentration of compound was evaluated on Pneumocystis carini Thymidylate synthase,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,147662,CHEMBL1129396,1996,,0
CHEMBL400364,Cc1[nH]c2nc(N)[nH]c(=O)c2c1Sc1ccc([N+](=O)[O-])cc1,IC50,150.0,nM,=,6.82,CHEMBL816742,The inhibitory concentration of compound was evaluated on Human Thymidylate synthase,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,151189,CHEMBL1129396,1996,,0
CHEMBL400364,Cc1[nH]c2nc(N)[nH]c(=O)c2c1Sc1ccc([N+](=O)[O-])cc1,IC50,15000.0,nM,=,4.82,CHEMBL816048,The inhibitory concentration of compound was evaluated on Streptococcus faecium Thymidylate synthase,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,151192,CHEMBL1129396,1996,,0
CHEMBL400364,Cc1[nH]c2nc(N)[nH]c(=O)c2c1Sc1ccc([N+](=O)[O-])cc1,IC50,2000.0,nM,=,5.70,CHEMBL814297,The inhibitory concentration of compound was evaluated on Pneumocystis carini Thymidylate synthase,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,151193,CHEMBL1129396,1996,,0
CHEMBL225071,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,IC50,880.0,nM,=,6.06,CHEMBL816743,The inhibitory concentration of compound was evaluated on Human thymidylate synthase,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,153645,CHEMBL1129396,1996,,0
CHEMBL225071,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,IC50,8800.0,nM,=,5.06,CHEMBL816049,The inhibitory concentration of compound was evaluated on Streptococcus faecium thymidylate synthase,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,153648,CHEMBL1129396,1996,,0
CHEMBL225071,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,IC50,530.0,nM,=,6.28,CHEMBL816046,The inhibitory concentration of compound was evaluated on Pneumocystis carini Thymidylate synthase,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,153649,CHEMBL1129396,1996,,0
CHEMBL142176,Cc1[nH]c2nc(N)nc(O)c2c1Sc1ccc(Cl)cc1,IC50,1000.0,nM,=,6.00,CHEMBL816742,The inhibitory concentration of compound was evaluated on Human Thymidylate synthase,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,156120,CHEMBL1129396,1996,,0
CHEMBL142176,Cc1[nH]c2nc(N)nc(O)c2c1Sc1ccc(Cl)cc1,IC50,30000.0,nM,=,4.52,CHEMBL816048,The inhibitory concentration of compound was evaluated on Streptococcus faecium Thymidylate synthase,B,CHEMBL1952,Thymidylate synthase,Homo sapiens,156124,CHEMBL1129396,1996,,0
